first_name,last_name,state,district,gender,population,num_uninsured,num_deaths,medicaid_expansion_state,swing_left_district,freedom_caucus_member,percent_vote_2016,percent_vote_clinton,percent_vote_trump,president_vote_margin,twitter_link,facebook_link,twitter_handle,phone_number,,Junior Senator Name,Senior Senator Name,Quotes on AHCA/Health Care (link out to page),Local stories (link out to page),Local groups (link out to page),Anecdotes (link out to page),,,
Steve,Womack,AR,3,M,733194,46300,438.8625592,Y,N,N,77.3,30.5,61.9,-31.4,https://twitter.com/rep_steve_womack,https://www.facebook.com/RepSteveWomack/,rep_steve_womack,202-225-4301,,,,,,,,,,
Trent,Franks,AZ,8,M,715893,44000,417.0616114,Y,N,Y,68.5,37.0,58.1,-21.1,https://twitter.com/RepTrentFranks,,RepTrentFranks,202-225-4576,,,,,,,,,,
Paul,Gosar,AZ,4,M,707750,47600,451.1848341,Y,N,Y,71.5,27.5,67.7,-40.2,https://twitter.com/RepGosar,,RepGosar,202-225-2315,,,,,,,,,,
Martha,McSally,AZ,2,F,722918,45500,431.2796209,Y,Y,N,57,49.6,44.7,4.9,https://twitter.com/RepMcSally,https://www.facebook.com/RepMcSally/,RepMcSally,202-225-2542,,,,,,,,,,
David,Schweikert,AZ,6,M,753752,43000,407.5829384,Y,N,Y,62.1,42.4,52.4,-10.0,https://twitter.com/repdavid,,repdavid,202-225-2190,,,,,,,,,,
Ken,Calvert,CA,42,M,717412,43100,408.5308057,Y,N,N,58.8,41.4,53.4,-12.0,https://twitter.com/KenCalvert,,KenCalvert,202-225-1986,,,,,,,,7700,280500,
Paul,Cook,CA,8,M,699443,52400,496.6824645,Y,N,N,62.3,39.6,54.7,-15.1,https://twitter.com/reppaulcook,,reppaulcook,202-225-5861,,,,,,,,,,
Jeff,Denham,CA,10,M,713912,49900,472.985782,Y,Y,N,51.7,48.5,45.5,3.0,https://twitter.com/RepJeffDenham,https://www.facebook.com/RepJeffDenham/,RepJeffDenham,202-225-4540,,,,,,,,4895,290800,
Duncan,Hunter,CA,50,M,724472,46000,436.0189573,Y,N,N,63.4,39.6,54.6,-15.0,https://twitter.com/rep_hunter,,rep_hunter,202-225-5672,,,,"""We're not guaranteeing health care for everyone. We're guaranteeing access to health care for everyone."" March 11, 2017 Town Hall.",,,,4895,323600,
Darrell,Issa,CA,49,M,702141,36900,349.7630332,Y,Y,N,50.3,50.7,43.2,7.5,https://twitter.com/DarrellIssa,https://www.facebook.com/darrellissa/,DarrellIssa,202-225-3906,,,,,,,,4056,320600,"374,449"
Steve,Knight,CA,25,M,714313,45600,432.2274882,Y,Y,N,53.1,50.3,43.6,6.7,https://twitter.com/SteveKnight25,https://www.facebook.com/RepresentativeSteveKnight/,SteveKnight25,202-225-1956,,,,,,,,4895,293300,
Doug,LaMalfa,CA,1,M,,46500,440.7582938,,,,,,,,,,,,,,,,,,,,,
Kevin,McCarthy,CA,23,M,707345,48200,456.8720379,Y,N,N,69.2,36.1,58.1,-22.0,https://twitter.com/GOPLeader,,GOPLeader,202-225-2915,,,,,,,,3991,272400,
Tom,McClintock,CA,4,M,711815,37000,350.7109005,Y,N,N,62.7,39.3,54.0,-14.7,https://twitter.com/repmcclintock,,repmcclintock,202-225-2511,,,,,,,,,,
Devin,Nunes,CA,22,M,711709,52800,500.4739336,Y,N,N,67.6,42.6,52.1,-9.5,https://twitter.com/devinnunes,,devinnunes,202-225-2523,,,,,,,,,,
Dana,Rohrabacher,CA,48,M,711992,41700,395.2606635,Y,Y,N,58.3,47.9,46.2,1.7,https://twitter.com/DanaRohrabacher,https://www.facebook.com/danarohrabacher/,DanaRohrabacher,202-225-2415,,,,,,,,7700,282700,
Ed,Royce,CA,39,M,711645,41300,391.4691943,Y,Y,N,57.2,51.5,42.9,8.6,https://twitter.com/RepEdRoyce,https://www.facebook.com/EdRoyce/,RepEdRoyce,202-225-4111,,,,,,,,,,
David,Valadao,CA,21,M,714164,60500,573.4597156,Y,Y,N,56.7,55.2,39.7,15.5,https://twitter.com/RepDavidValadao,https://www.facebook.com/CongressmanDavidValadao/,RepDavidValadao,202-225-4695,,,,,,,,,,
Mimi,Walters,CA,45,F,721016,33700,319.4312796,Y,Y,N,58.6,49.8,44.4,5.4,https://twitter.com/RepMimiWalters,https://www.facebook.com/RepMimiWalters/,RepMimiWalters,202-225-5611,,,,,,,,2679,296800,
Ken,Buck,CO,4,M,722690,37000,350.7109005,Y,N,Y,63.5,34.3,57.4,-23.1,https://twitter.com/RepKenBuck,,RepKenBuck,202-225-4676,,,,,,,,3991,274300,
Doug,Lamborn,CO,5,M,733850,32600,309.0047393,Y,N,N,62.3,,,0.0,https://twitter.com/RepDLamborn,,RepDLamborn,202-225-4422,,,,,,,,4895,296600,
Scott,Tipton,CO,3,M,719526,45000,426.5402844,Y,Y,N,54.6,40.0,52.0,-12.0,https://twitter.com/RepTipton,https://www.facebook.com/CongressmanScottTipton/,RepTipton,202-225-4761,,,,,,,,,,
Gus,Bilirakis,FL,12,M,701580,66200,627.4881517,N,N,N,68.5,38.8,57.4,-18.6,https://twitter.com/RepGusBilirakis,,RepGusBilirakis,202-225-5755,,,,,,,,,,
Vern,Buchanan,FL,16,M,702795,64000,606.6350711,N,N,N,59.8,43.0,53.7,-10.7,https://twitter.com/VernBuchanan,,VernBuchanan,202-225-5015,,,,,,,,2679,326800,
Carlos,Curbelo,FL,26,M,728285,100200,949.7630332,N,Y,N,53,56.7,40.6,16.1,https://twitter.com/carloslcurbelo?lang=en,https://www.facebook.com/RepCurbelo/,carloslcurbelo,202-225-2778,,,,,,,,,,
Ron,DeSantis,FL,6,M,709868,71300,675.8293839,N,N,Y,58.6,39.9,56.9,-17,https://twitter.com/RepDeSantis,,RepDeSantis,202-225-2706,,,,,,,,4056,311200,
Mario,Diaz-Balart,FL,25,M,723113,94600,896.6824645,N,N,N,62.4,47.9,49.6,-1.7,https://twitter.com/MarioDB,,MarioDB,202-225-4211,,,,,,,,,,
Neal,Dunn,FL,2,M,701463,66600,631.2796209,N,N,N,67.3,30.6,66.2,-35.6,https://twitter.com/drnealdunnfl2,,drnealdunnfl2,202-225-5235,,,,,,,,,,
Matt,Gaetz,FL,1,M,703033,58500,554.5023697,N,N,N,69.1,28.2,67.5,-39.3,https://twitter.com/mattgaetz,,mattgaetz,202-225-4136,,,,,,,,,,
Brian,Mast,FL,18,M,687695,74800,709.0047393,N,Y,N,53.6,44.1,53.3,-9.2,https://twitter.com/repbrianmast?lang=en,https://www.facebook.com/BrianMastFL/,repbrianmast,202-225-3026,,,,,,,,5218,289700,
Bill,Posey,FL,8,M,699857,63900,605.6872038,N,N,N,63.1,37.7,58.4,-20.7,https://twitter.com/congbillposey,,congbillposey,202-225-3671,,,,,,,,,,
Francis,Rooney,FL,19,M,696776,71400,676.7772512,N,N,N,65.9,37.5,59.6,-22.1,https://twitter.com/reprooney,,reprooney,202-225-2536,,,,,,,,2679,310500,
Tom,Rooney,FL,17,M,694509,67500,639.8104265,N,N,N,61.8,35.0,62.2,-27.2,https://twitter.com/tomrooney,,tomrooney,202-225-5792,,,,,,,,3991,270200,
Dennis,Ross,FL,15,M,714155,72100,683.4123223,N,Y,N,57.5,43.1,53.1,-10,https://twitter.com/AmbDennisRoss,https://www.facebook.com/dennis.ross.376/,AmbDennisRoss,202-225-1252,,,,,,,,4895,322200,
John,Rutherford,FL,4,M,700499,65700,622.7488152,N,N,N,70.2,34.1,62.1,-28,https://twitter.com/reprutherfordfl,,reprutherfordfl,202-225-2501,,,,,,,,,,
Daniel,Webster,FL,11,M,700956,66400,629.3838863,N,N,N,65.4,32.5,64.8,-32.3,https://twitter.com/RepWebster ‏,,RepWebster ‏,202-225-1002,,,,,,,,,,
Ted,Yoho,FL,3,M,700008,67200,636.9668246,N,N,Y,56.6,40.2,56.2,-16,https://twitter.com/RepTedYoho,,RepTedYoho,202-225-5744,,,,,,,,5218,323500,
Rick,Allen,GA,12,M,704537,73500,696.6824645,N,N,N,61.6,40.7,56.9,-16.2,https://twitter.com/rickallen,,rickallen,202-225-2823,,,,,,,,7700,268500,
Buddy,Carter,GA,1,M,703020,65600,621.8009479,N,N,N,100,40.9,56.4,-15.5,https://twitter.com/RepBuddyCarter,,RepBuddyCarter,202-225-5831,,,,,,,,4056,333500,
Doug,Collins,GA,9,M,714378,70300,666.3507109,N,N,N,100,19.3,77.8,-58.5,https://twitter.com/RepDougCollins,,RepDougCollins,202-225-9893,,,,,,,,,,
Drew,Ferguson,GA,3,M,687745,60200,570.6161137,N,N,N,68.3,32.8,64.3,-31.5,https://twitter.com/repdrewferguson,,repdrewferguson,202-225-5901,,,,,,,,,,
Tom,Graves,GA,14,M,694398,71200,674.8815166,N,N,N,100,22.1,75.0,-52.9,https://twitter.com/RepTomGraves,,RepTomGraves,202-225-5211,,,,,,,,,,
Jody,Hice,GA,10,M,694613,61700,584.8341232,N,N,Y,100,35.8,61.3,-25.5,https://twitter.com/CongressmanHice,,CongressmanHice,202-225-4101,,,,,,,,,,
Barry,Loudermilk,GA,11,M,689738,68500,649.2890995,N,N,N,67.4,35.3,60.3,-25.0,https://twitter.com/RepLoudermilk,,RepLoudermilk,202-225-2931,,,,,,,,,,
Austin,Scott,GA,8,M,693640,68200,646.4454976,N,N,N,67.6,34.4,63.3,-28.9,https://twitter.com/ScottMAustin,,ScottMAustin,202-225-6531,,,,,,,,8944,313600,
Rob,Woodall,GA,7,M,687296,73400,695.7345972,N,N,N,60.4,44.8,51.1,-6.3,https://twitter.com/RepRobWoodall,,RepRobWoodall,202-225-4272,,,,,,,,3284,314500,
Rod,Blum,IA,1,M,763903,34900,330.8056872,Y,Y,Y,53.7,45.2,48.7,-3.5,https://twitter.com/RepRodBlum,https://www.facebook.com/congressmanrodblum/,RepRodBlum,202-225-2911,,,,,,,,,,
Steve,King,IA,4,M,761467,35400,335.5450237,Y,N,N,61.2,33.5,60.9,-27.4,https://twitter.com/SteveKingIA,,SteveKingIA,202-225-4426,,,,,,,,,,
David,Young,IA,3,M,770819,38800,367.7725118,Y,Y,N,53.4,45.0,48.5,-3.5,https://twitter.com/RepDavidYoung,https://www.facebook.com/RepDavidYoung/,RepDavidYoung,202-225-5476,,,,,,,,3991,280300,
Raul,Labrador,ID,1,M,791876,73500,696.6824645,N,N,Y,68.2,25.4,63.7,-38.3,https://twitter.com/Raul_Labrador,,Raul_Labrador,202-225-6611,,,,,,,,,,
Mike,Simpson,ID,2,M,793109,73700,698.5781991,N,N,N,62.9,29.8,54.5,-24.7,https://twitter.com/congmikesimpson,,congmikesimpson,202-225-5531,,,,,,,,,,
Mike,Bost,IL,12,M,713289,37900,359.2417062,Y,Y,N,54.3,40.2,55.0,-14.8,https://twitter.com/RepBost,https://www.facebook.com/RepBost/,RepBost,202-225-5661,,,,,,,,5218,318300,
Rodney,Davis,IL,13,M,712716,35600,337.4407583,Y,N,N,59.7,44.2,49.7,-5.5,https://twitter.com/RodneyDavis,,RodneyDavis,202-225-2371,,,,,,,,,,
Randy,Hultgren,IL,14,M,718232,33200,314.6919431,Y,N,N,59.3,44.8,48.7,-3.9,https://twitter.com/RepHultgren,,RepHultgren,202-225-2976,,,,,,,,,,
Adam,Kinzinger,IL,16,M,713840,34500,327.014218,Y,N,N,99.9,38.3,55.5,-17.2,https://twitter.com/RepKinzinger,,RepKinzinger,202-225-3635,,,,,,,,5218,307900,
Darin,LaHood,IL,18,M,707238,29900,283.4123223,Y,N,N,72.1,33.3,60.6,-27.3,https://twitter.com/replahood,,replahood,202-225-6201,,,,,,,,4488,344400,
Peter,Roskam,IL,6,M,712712,30600,290.0473934,Y,Y,N,59.2,50.2,43.2,7,https://twitter.com/PeterRoskam,https://www.facebook.com/PeterRoskam/,PeterRoskam,202-225-4561,,,,,,,,3991,253100,
John,Shimkus,IL,15,M,715066,37000,350.7109005,Y,N,N,100,24.5,70.7,-46.2,https://twitter.com/RepShimkus,,RepShimkus,202-225-5271,,,,,,,,,,
Jim,Banks,IN,3,M,722205,34200,324.1706161,Y,N,Y,70.1,30.1,65.1,-35.0,https://twitter.com/RepJimBanks,,RepJimBanks,202-225-4436,,,,,,,,,,
Susan,Brooks,IN,5,F,731702,30500,289.0995261,Y,N,N,61.5,41.3,53.1,-11.8,https://twitter.com/SusanWBrooks,,SusanWBrooks,202-225-2276,,,,,,,,7700,296000,
Larry,Bucshon,IN,8,M,720783,32100,304.2654028,Y,N,N,63.7,30.9,64.6,-33.7,https://twitter.com/RepLarryBucshon,,RepLarryBucshon,202-225-4636,,,,,,,,3561,338600,
Trey,Hollingsworth,IN,9,M,726570,30900,292.8909953,Y,Y,N,54.1,34.2,61.1,-26.9,https://twitter.com/reptrey,https://www.facebook.com/votetrey/,reptrey,202-225-5315,,,,,,,,,,
Luke,Messer,IN,6,M,720186,33400,316.5876777,Y,N,N,69.1,27.4,67.7,-40.3,https://twitter.com/RepLukeMesser,,RepLukeMesser,202-225-3021,,,,,,,,,,
Todd,Rokita,IN,4,M,729244,30800,291.943128,Y,N,N,64.6,30.2,64.3,-34.1,https://twitter.com/ToddRokita,,ToddRokita,202-225-5037,,,,,,,,4056,316200,
Jackie,Walorski,IN,2,F,717237,36600,346.9194313,Y,N,N,59.3,36.1,59.3,-23.2,https://twitter.com/RepWalorski,,RepWalorski,202-225-3915,,,,,,,,,,
Ron,Estes,KS,4,M,715456,56200,532.7014218,N,N,N,52.5,33.0,60.2,-27.2,https://twitter.com/ronestesks,,ronestesks,202-225-6216,,,,,,,,,,
Lynn,Jenkins,KS,2,M,714459,53500,507.1090047,N,N,N,60.9,37.4,55.8,-18.4,https://twitter.com/RepLynnJenkins,,RepLynnJenkins,202-225-6601,,,,,,,,,,
Roger,Marshall,KS,1,M,718350,49100,465.4028436,N,N,N,65.9,24.3,69.3,-45,https://twitter.com/rogermarshallmd?,,rogermarshallmd,202-225-2715,,,,,,,,,,
Kevin,Yoder,KS,3,M,722973,53300,505.2132701,N,Y,N,51.3,47.2,46.0,1.2,https://twitter.com/RepKevinYoder,https://www.facebook.com/CongressmanKevinYoder/,RepKevinYoder,202-225-2865,,,,,,,,4088,355000,
Andy,Barr,KY,6,M,733205,42600,403.7914692,Y,N,N,61.1,27.6,67.5,-39.9,https://twitter.com/RepAndyBarr,,RepAndyBarr,202-225-4706,,,,,,,,,,
James,Comer,KY,1,M,720774,43100,408.5308057,Y,N,N,72.6,23.9,72.4,-48.5,https://twitter.com/KYComer,,KYComer,202-225-3115,,,,,,,,4088,292100,
Brett,Guthrie,KY,2,M,733610,38500,364.92891,Y,N,N,100,27.6,67.5,-39.9,https://twitter.com/RepGuthrie,,RepGuthrie,202-225-3501,,,,,,,,,,
Harold,Rogers,KY,5,M,723855,51300,486.2559242,Y,N,N,100,17.5,79.6,-62.1,https://twitter.com/RepHalRogers,,RepHalRogers,202-225-4601,,,,,,,,,,
Ralph,Abraham,LA,5,M,765180,57600,545.971564,Y,N,N,81.6,34.1,63.5,-29.4,https://twitter.com/repabraham,,repabraham,202-225-8490,,,,,,,,Average cost increase in state by 2026 https://www.americanprogressaction.org/issues/healthcare/news/2017/03/17/166615/trumpcare-by-the-numbers/,Nonelderly with pre-existing conditions in district https://www.americanprogress.org/issues/healthcare/news/2017/04/05/430059/number-americans-pre-existing-conditions-congressional-district/,Number of registered voters
Garret,Graves,LA,6,M,763016,50700,480.5687204,Y,N,N,62.7,31.0,64.8,-33.8,https://twitter.com/repgarretgraves,,repgarretgraves,202-225-3901,,,,,,,,,,
Clay,Higgins,LA,3,M,760696,53600,508.056872,Y,N,N,56.1,29.2,67.3,-38.1,https://twitter.com/captclayhiggins,,captclayhiggins,202-225-2031,,,,,,,,4088,302600,
Mike,Johnson,LA,4,M,758453,54200,513.7440758,Y,N,Y,65.2,36.6,60.6,-24.0,https://twitter.com/repmikejohnson,,repmikejohnson,202-225-2777,,,,,,,,,,
Steve,Scalise,LA,1,M,759507,54400,515.6398104,Y,N,N,74.6,26.7,68.7,-42.0,https://twitter.com/SteveScalise,,SteveScalise,202-225-3015,,,,,,,,,,
Andy,Harris,MD,1,M,722628,30800,291.943128,Y,N,Y,67,33.5,61.9,-28.4,https://twitter.com/RepAndyHarrisMD,,RepAndyHarrisMD,202-225-5311,,,,,,,,,,
Bruce,Poliquin,ME,2,M,660042,60500,573.4597156,N,Y,N,54.8,41.1,51.4,-10.3,https://twitter.com/RepPoliquin,https://www.facebook.com/BrucePoliquin/,RepPoliquin,202-225-6306,,,,,,,,,,
Justin,Amash,MI,3,M,709467,37200,352.6066351,Y,N,Y,59.5,42.2,51.6,-9.4,https://twitter.com/justinamash,,justinamash,202-225-3831,,,,,,,,4088,293200,
Jack,Bergman,MI,1,M,708797,38700,366.8246445,Y,N,N,54.9,36.6,57.9,-21.3,https://twitter.com/repjackbergman,,repjackbergman,202-225-4735,,,,,,,,,,
Mike,Bishop,MI,8,M,706826,31900,302.3696682,Y,N,N,56,43.9,50.6,-6.7,https://twitter.com/repmikebishop,,repmikebishop,202-225-4872,,,,,,,,3991,277000,
Bill,Huizenga,MI,2,M,709073,38000,360.1895735,Y,N,N,62.6,38.2,55.8,-17.6,https://twitter.com/rephuizenga,,rephuizenga,202-225-4401,,,,,,,,,,
Paul,Mitchell,MI,10,M,701831,35400,335.5450237,Y,N,N,63.1,31.6,63.8,-32.2,https://twitter.com/reppaulmitchell,,reppaulmitchell,202-225-2106,,,,,,,,2679,297400,
John,Moolenaar,MI,4,M,703259,37200,352.6066351,Y,N,N,61.6,34.7,59.5,-24.8,https://twitter.com/repmoolenaar,,repmoolenaar,202-225-3561,,,,,,,,,,
Dave,Trott,MI,11,M,706645,27000,255.9241706,Y,Y,N,52.9,45.3,49.7,-4.4,https://twitter.com/repdavetrott,https://www.facebook.com/RepDaveTrott/,repdavetrott,202-225-8171,,,,,,,,3561,305100,
Fred,Upton,MI,6,M,707375,38600,365.8767773,Y,N,N,58.6,42.9,51.3,-8.4,https://twitter.com/RepFredUpton,,RepFredUpton,202-225-3761,,,,,,,,,,
Tim,Walberg,MI ,7,M,701436,33800,320.3791469,Y,Y,N,55.1,38.7,55.7,-17.0,https://twitter.com/RepWalberg,https://www.facebook.com/RepWalberg/,RepWalberg,202-225-6276,,,,,,,,,,
Tom,Emmer,MN,6,,675415,28100,266.3507109,Y,N,N,65.6,33.2,58.9,-25.7,https://twitter.com/reptomemmer,,reptomemmer,202-225-2331,,,,,,,,3991,287400,
Jason,Lewis,MN,2,M,668891,28500,270.1421801,Y,Y,N,47,45.3,46.5,-1.2,https://twitter.com/repjasonlewis,https://www.facebook.com/RepJasonLewis/,repjasonlewis,202-225-3801,,,,,,,,,,
Erik,Paulsen,MN,3,M,664419,27700,262.5592417,Y,Y,N,56.7,50.8,41.4,9.4,https://twitter.com/erik_paulsen,https://www.facebook.com/CongressmanErikPaulsen/,erik_paulsen,202-225-2871,,,,,,,,7700,293000,
Sam,Graves,MO,6,M,753729,54200,513.7440758,N,N,N,68,31.7,63.1,-31.4,https://twitter.com/RepSamGraves,,RepSamGraves,202-225-7041,,,,,,,,,,
Vicky,Hartzler,MO,4,F,755389,62800,595.2606635,N,N,N,67.8,29.3,65.3,-36,https://twitter.com/RepHartzler,,RepHartzler,202-225-2876,,,,,,,,,,
Billy,Long,MO,7,M,751514,75600,716.5876777,N,N,N,67.5,24.7,70.4,-45.7,https://twitter.com/USRepLong,,USRepLong,202-225-6536,,,,,,,,,,
Blaine,Luetkemeyer,MO,3,M,762347,51000,483.4123223,N,N,N,67.8,28.1,67.1,-39,https://twitter.com/RepBlainePress,,RepBlainePress,202-225-2956,,,,,,,,,,
Ann,Wagner,MO,2,F,752403,43100,408.5308057,N,N,N,58.5,42.3,52.6,-10.3,https://twitter.com/RepAnnWagner,,RepAnnWagner,202-225-1621,,,,,,,,4056,291100,
Jason,Smith,MO ,8,M,747756,63700,603.7914692,N,N,N,74.4,21.0,75.4,-54.4,https://twitter.com/RepJasonSmith,,RepJasonSmith,202-225-4404,,,,,,,,,,
Gregg,Harper,MS,3,M,745254,67400,638.8625592,N,N,N,66.2,36.8,61.3,-24.5,https://twitter.com/GreggHarper,,GreggHarper,202-225-5031,,,,,,,,3636,304500,
Trent,Kelly,MS,1,M,740720,67800,642.6540284,N,N,N,68.7,32.4,65.4,-33.0,https://twitter.com/RepTrentKelly,,RepTrentKelly,202-225-4306,,,,,,,,,,
Steven,Palazzo,MS,4,M,749289,65800,623.6966825,N,N,N,65,28.2,69.4,-41.2,https://twitter.com/CongPalazzo,,CongPalazzo,202-225-5772,,,,,,,,,,
Ted,Budd,NC,13,M,,100700,954.5023697,N,Y,Y,,44.0,53.4,-9.4,https://twitter.com/reptedbudd,https://www.facebook.com/tedbuddforcongress/,reptedbudd,202-225-4531,,,,,,,,2679,294700,
Virginia,Foxx,NC,5,F,726638,102000,966.8246445,N,N,N,58.4,39.8,57.4,-17.6,https://twitter.com/virginiafoxx,,virginiafoxx,202-225-2071,,,,,,,,,,
George,Holding,NC,2,M,744671,95100,901.4218009,N,Y,N,56.7,43.6,53.2,-9.6,https://twitter.com/RepHolding,https://www.facebook.com/CongressmanGeorgeHolding/,RepHolding,202-225-3032,,,,,,,,3284,307200,
Richard,Hudson,NC,8,M,750059,91700,869.1943128,N,N,N,58.8,41.1,56.1,-15,https://twitter.com/RepRichHudson,,RepRichHudson,202-225-3715,,,,,,,,2679,305400,
Patrick,McHenry,NC,10,M,,100500,952.6066351,N,N,N,,36.4,61.0,-24.6,https://twitter.com/PatrickMcHenry,,PatrickMcHenry,202-225-2576,,,,,,,,4056,296100,
Mark,Meadows,NC,11,M,,102600,972.5118483,N,N,Y,,34.0,63.2,-29.2,https://twitter.com/RepMarkMeadows,,RepMarkMeadows,202-225-6401,,,,,,,,8944,280300,
David,Rouzer,NC,7,M,745559,105000,995.2606635,N,N,N,60.9,39.9,57.6,-17.7,https://twitter.com/repdavidrouzer,,repdavidrouzer,202-225-2731,,,,,,,,,,
Mark,Walker,NC,6,M,749909,98900,937.4407583,N,N,N,59.2,41.4,56.1,-14.7,https://twitter.com/RepMarkWalker,,RepMarkWalker,202-225-3065,,,,,,,,,,
Robert,Pittenger,NC ,9,M,750582,105800,1002.843602,N,N,N,58.2,42.8,54.4,-11.6,https://twitter.com/reppittenger,,reppittenger,202-225-1976,,,,,,,,,,
Kevin,Cramer,ND,1,M,,30100,285.3080569,Y,N,N,,27.7,64.1,-36.4,https://twitter.com/RepKevinCramer,,RepKevinCramer,202-225-2611,,,,,,,,4056,289900,
Don,Bacon,NE,2,M,,55500,526.0663507,N,Y,N,,46.0,48.2,-2.2,https://twitter.com/repdonbacon,https://www.facebook.com/RepDonBacon/,repdonbacon,202-225-4155,,,,,,,,,,
Jeff,Fortenberry,NE,1,M,,56200,532.7014218,N,N,N,,36.2,57.5,-21.3,https://twitter.com/JeffFortenberry,,JeffFortenberry,202-225-4806,,,,,,,,,,
Adrian,Smith,NE,3,M,,63800,604.7393365,N,N,N,,20.0,74.9,-54.9,https://twitter.com/RepAdrianSmith,,RepAdrianSmith,202-225-6435,,,,,,,,4488,328800,
Rodney,Frelinghuysen,NJ,11,M,,27500,260.6635071,Y,N,N,,47.9,48.8,-0.9,https://twitter.com/USRepRodney,,USRepRodney,202-225-5034,,,,,,,,8944,301100,
Tom,MacArthur,NJ,3,M,,29800,282.464455,Y,N,N,,45.2,51.4,-6.2,https://twitter.com/RepTomMacArthur,,RepTomMacArthur,202-225-4765,,,,,,,,,,
Steve,Pearce,NM,2,M,,47700,452.1327014,Y,N,Y,,39.9,50.1,-10.2,https://twitter.com/RepStevePearce,,RepStevePearce,202-225-2365,,,,,,,,,,
Mark,Amodei,NV,2,M,,34300,325.1184834,Y,N,N,,39.7,52.0,-12.3,https://twitter.com/markamodeinv2,,markamodeinv2,202-225-6155,,,,,,,,,,
Chris,Collins,NY,27,M,,29300,277.7251185,Y,N,N,,35.2,59.7,-24.5,https://twitter.com/repchriscollins,,repchriscollins,202-225-5265,,,,,,,,,,
John,Faso,NY,19,M,,35200,333.6492891,Y,Y,N,,44.0,50.8,-6.8,https://twitter.com/repjohnfaso,https://www.facebook.com/RepJohnFaso/,repjohnfaso,202-225-5614,,,,,,,,,,
Peter,King,NY,2,M,,31000,293.8388626,Y,N,N,,43.9,53.0,-9.1,https://twitter.com/RepPeteKing,,RepPeteKing,202-225-7896,,,,,,,,,,
Tom,Reed,NY,23,M,,40800,386.7298578,Y,N,N,,39.7,54.5,-14.8,https://twitter.com/RepTomReed,,RepTomReed,202-225-3161,,,,,,,,,,
Elise,Stefanik,NY,21,F,,28400,269.1943128,Y,N,N,,40.0,53.9,-13.9,https://twitter.com/RepStefanik,,RepStefanik,202-225-4611,,,,,,,,,,
Claudia,Tenney,NY,22,F,,28600,271.0900474,Y,Y,N,,39.3,54.8,-15.5,https://twitter.com/claudiatenney,https://www.facebook.com/RepClaudiaTenney/,claudiatenney,202-225-3665,,,,,,,,,,
Lee,Zeldin,NY,1,M,,29900,283.4123223,Y,N,N,,42.2,54.5,-12.3,https://twitter.com/RepLeeZeldin,,RepLeeZeldin,202-225-3826,,,,,,,,"19,646","326,000",
